Tanggal,DKI Jakarta,Pasar Glodok,Pasar Senen Blok III - VI,Pasar Minggu,Pasar Kramat Jati,Pasar Sunter Podomoro
22-Des-21,13809,13500,14000,14000,13000,14000
23-Des-21,13787,13500,14000,14000,13000,14000
24-Des-21,13809,13500,14000,14000,13000,14000
25-Des-21,13787,13500,14000,14000,13000,14000
26-Des-21,13755,13500,14000,14000,13000,14000
27-Des-21,13766,13500,14000,14000,13000,14000
28-Des-21,13734,13500,14000,14000,13000,14000
29-Des-21,13766,13500,14000,14000,13000,14000
30-Des-21,13809,13500,14000,14000,13000,14000
31-Des-21,13787,13500,14000,14000,13000,14000
1-Jan-22,13809,13500,14000,14000,13000,14000
2-Jan-22,13830,13500,14000,14000,13000,14000
3-Jan-22,13851,13500,14000,14000,13000,14000
4-Jan-22,13830,13500,14000,14000,13000,14000
5-Jan-22,13787,13500,14000,14000,13000,14000
6-Jan-22,13787,13500,14000,14000,13000,14000
7-Jan-22,13830,13500,14000,14000,13000,14000
8-Jan-22,13830,13500,14000,14000,13000,14000
9-Jan-22,13819,13500,14000,14000,13000,14000
10-Jan-22,13819,13500,14000,14000,13000,14000
11-Jan-22,13830,13500,14000,14000,13000,14000
12-Jan-22,13766,13500,14000,14000,13000,11000
13-Jan-22,13872,13500,14000,14000,13000,14000
14-Jan-22,13883,14000,14000,14000,13000,14000
15-Jan-22,13883,14000,14000,14000,14000,14000
16-Jan-22,13883,14000,14000,14000,13000,14000
17-Jan-22,13926,14000,14000,14000,14000,14000
18-Jan-22,13936,14000,14000,14000,14000,14000
19-Jan-22,13894,14000,14000,14000,14000,14000
20-Jan-22,13947,14000,14000,14000,14000,14000
21-Jan-22,13989,14000,14000,14000,14000,14000
22-Jan-22,14011,14000,14000,15000,14000,14000
23-Jan-22,13968,14000,14000,15000,14000,14000
24-Jan-22,13989,14000,14000,15000,14000,14000
25-Jan-22,13979,14000,14000,15000,14000,14000
26-Jan-22,14064,14000,14000,15000,14000,14000
27-Jan-22,14053,14000,14000,15000,14000,14000
28-Jan-22,14032,14000,14000,15000,14000,14000
29-Jan-22,14053,14000,14000,15000,14000,14000
30-Jan-22,14032,14000,14000,15000,14000,14000
31-Jan-22,14053,14000,14000,15000,14000,14000
1-Feb-22,13989,14000,14000,15000,14000,14000
2-Feb-22,14011,14000,14000,15000,14000,14000
3-Feb-22,14000,14000,14000,15000,14000,14000
4-Feb-22,14021,14000,14000,15000,14000,14000
